distretto,orario,velocita
Bronx,0,43.70328558639212
Bronx,1,45.89124192059095
Bronx,2,47.06210868555504
Bronx,3,46.77212979890311
Bronx,4,46.98886415265788
Bronx,5,45.12986073674752
Bronx,6,41.342302922940654
Bronx,7,38.70455227172474
Bronx,8,38.84160460992908
Bronx,9,36.87305099778271
Bronx,10,33.93690197841727
Bronx,11,32.30861706983112
Bronx,12,30.584036866359448
Bronx,13,29.44421052631579
Bronx,14,28.906271540469977
Bronx,15,27.726894018887723
Bronx,16,27.74508544795443
Bronx,17,29.27272955343703
Bronx,18,32.06144927536232
Bronx,19,34.53625681705503
Bronx,20,37.02658548707754
Bronx,21,38.20067255768287
Bronx,22,39.47929764243615
Bronx,23,39.90054644808743
Brooklyn,0,37.95419091967404
Brooklyn,1,38.48830508474576
Brooklyn,2,41.5053738317757
Brooklyn,3,42.451850117096015
Brooklyn,4,43.55948955916473
Brooklyn,5,41.41240740740741
Brooklyn,6,36.12101969872538
Brooklyn,7,35.12966318234611
Brooklyn,8,33.3673488372093
Brooklyn,9,33.74060141509434
Brooklyn,10,32.909640787949016
Brooklyn,11,31.604204413472708
Brooklyn,12,30.941046511627903
Brooklyn,13,31.300518134715027
Brooklyn,14,29.445868421052637
Brooklyn,15,29.857578125
Brooklyn,16,28.77789817232376
Brooklyn,17,28.64316339869281
Brooklyn,18,32.493502604166665
Brooklyn,19,34.86201570680628
Brooklyn,20,35.72834210526316
Brooklyn,21,36.8188770053476
Brooklyn,22,37.07167539267015
Brooklyn,23,36.04772908366534
Manhattan,0,20.94865412445731
Manhattan,1,20.64504724409449
